Ticket,Open,Type,Volume,Symbol,Price,SL,TP,Close,Price,Swap,Commissions,Profit,Pips,"Trade duration in seconds"
93747920,"2025-02-05 07:35:44",buy,0.1,BTCUSD,97585.38000000,96440.49,99840.49000000,"2025-02-05 14:51:41",98577.87000000,0,0,79.30000000,992.49,26157
93747877,"2025-02-04 23:31:32",buy,2,ETHUSD,2671.43000000,2675.82,2831.43000000,"2025-02-05 14:51:20",2813.16000000,0,0,226.47000000,141.73,55188
93744833,"2025-02-05 14:18:28",sell,3,US30.cash,44470.46000000,44496,44320.46000000,"2025-02-05 14:30:03",44496.44000000,0,0,-62.21000000,-25.98,695
93744531,"2025-02-05 14:02:05",sell,3,US100.cash,21389.05000000,21429.05,21229.05000000,"2025-02-05 14:27:36",21417.85000000,0,0,-68.95000000,-28.80,1531
93743837,"2025-02-05 14:16:57",sell,5,US100.cash,21390.85000000,21410.93,21270.85000000,"2025-02-05 14:21:18",21411.05000000,0,0,-80.61000000,-20.20,261
93743488,"2025-02-05 07:35:44",buy,0.2,BTCUSD,97836.03000000,96440.49,99840.49000000,"2025-02-05 14:19:24",98199.37000000,0,0,58.01000000,363.34,24220
93743466,"2025-02-05 07:10:06",buy,4.2,ETHUSD,2779.29619000,2729.3,2879.30000000,"2025-02-05 14:19:10",2788.57000000,0,0,31.09000000,9.27,25744
93743317,"2025-02-05 14:07:32",buy,3,US100.cash,21404.65000000,21384.65,21604.65000000,"2025-02-05 14:18:16",21384.55000000,0,0,-48.13000000,-20.10,644
93742975,"2025-02-05 14:07:54",buy,2,US30.cash,44501.94000000,44471.94,44801.94000000,"2025-02-05 14:15:39",44471.46000000,0,0,-48.63000000,-30.48,465
93737443,"2025-02-05 07:35:44",buy,0.09,BTCUSD,97836.03000000,95986.44,99389.87000000,"2025-02-05 12:39:31",97898.17000000,0,0,4.46000000,62.14,18227
93734268,"2025-02-04 23:31:32",buy,1.1,ETHUSD,2671.43000000,2675.82,2831.43000000,"2025-02-05 11:55:09",2774.90000000,0,0,90.74000000,103.47,44617
93702157,"2025-02-04 23:32:08",buy,0.31,BTCUSD,96973.83000000,95973.83,98773.83000000,"2025-02-05 02:03:52",98774.27000000,0,0,447.06000000,1800.44,9104
93696654,"2025-02-04 18:19:08",sell,10,US100.cash,21495.95000000,21604.79,21394.22000000,"2025-02-04 22:27:05",21510.76000000,0,0,-118.67000000,-14.81,14877
93689073,"2025-02-04 19:33:14",sell,5,US100.cash,21527.45000000,21556.96,0.00000000,"2025-02-04 20:18:56",21556.95000000,0,0,-118.23000000,-29.50,2742
93688573,"2025-02-04 18:20:24",sell,5.1,US30.cash,44473.46000000,44566.9,0.00000000,"2025-02-04 20:11:06",44567.44000000,0,0,-383.93000000,-93.98,6642
93684706,"2025-02-04 18:58:58",sell,3,US30.cash,44508.16000000,44549.02,0.00000000,"2025-02-04 19:08:40",44495.04000000,0,0,31.53000000,13.12,582
